2.4	1	-1.79333	0.94	2009.47	1325.03	228
2.4	101	-1.83375	0.950479	2043.87	1317.3	307.366
2.4	201	-1.83312	0.950312	1984.11	1279.21	307.333
2.4	301	-1.83348	0.950412	1926.54	1241.84	307.319
2.4	401	-1.83322	0.950339	1867.65	1204.02	307.344
2.4	501	-1.83342	0.950394	1809.69	1166.53	307.333
2.4	601	-1.83326	0.950352	1751.04	1128.79	307.326
2.4	701	-1.83339	0.950386	1692.93	1091.24	307.34
2.4	801	-1.83328	0.950356	1634.37	1053.54	307.333
2.4	901	-1.83338	0.950384	1576.2	1015.96	307.329
2.4	1001	-1.83329	0.950358	1517.69	978.276	307.338
2.4	1101	-1.83337	0.950381	1459.47	940.689	307.333
2.4	1201	-1.8333	0.950361	1401	903.018	307.33
2.4	1301	-1.83337	0.950379	1342.75	865.417	307.337
2.4	1401	-1.8333	0.950362	1284.31	827.753	307.333
2.4	1501	-1.83336	0.950379	1226.04	790.148	307.33
2.4	1601	-1.83331	0.950363	1167.61	752.489	307.336
2.4	1701	-1.83336	0.950377	1109.32	714.878	307.333
2.4	1801	-1.83331	0.950364	1050.91	677.225	307.331
2.4	1901	-1.83336	0.950376	992.61	639.608	307.336
2.4	2001	-1.83331	0.950365	934.211	601.959	307.333
2.4	2101	-1.83335	0.950376	875.901	564.34	307.331
2.4	2201	-1.83331	0.950365	817.51	526.694	307.335
2.4	2301	-1.83335	0.950375	759.191	489.072	307.333
2.4	2401	-1.83332	0.950366	700.81	451.429	307.332
2.4	2501	-1.83335	0.950375	642.482	413.803	307.335
2.4	2601	-1.83332	0.950366	584.107	376.162	307.333
2.4	2701	-1.83335	0.950375	525.775	338.536	307.332
2.4	2801	-1.83332	0.950366	467.405	300.896	307.335
