1	0.25	-0.07	4.32943	0.814625	20
101	-0.113663	0.0321287	1.67143	0.316385	22.0099
201	0.0584577	-0.0165174	2.6804	0.331338	21.995
301	-0.0763455	0.0215781	3.40785	0.170785	22.0033
401	0.05798	-0.016384	4.394	-0.232844	21.9975
501	-0.0688224	0.0194511	5.13277	-0.945876	22.002
601	0.0578203	-0.0163394	6.11319	-2.03443	21.9983
701	-0.065592	0.0185378	6.85602	-3.56457	22.0014
801	0.0577403	-0.0163171	7.83379	-5.60233	21.9988
901	-0.0637958	0.01803	8.57872	-8.21375	22.0011
1001	0.0576923	-0.0163037	9.55495	-11.4648	21.999
1101	-0.0626521	0.0177066	10.3012	-15.4216	22.0009
1201	0.0576603	-0.0162948	11.2764	-20.1501	21.9992
1301	-0.0618601	0.0174827	12.0235	-25.7163	22.0008
1401	0.0576374	-0.0162884	12.998	-32.1863	21.9993
1501	-0.0612791	0.0173185	13.7457	-39.626	22.0007
1601	0.0576202	-0.0162836	14.7197	-48.1016	21.9994
1701	-0.0608348	0.0171928	15.4679	-57.6789	22.0006
1801	0.0576069	-0.0162798	16.4415	-68.424	21.9994
1901	-0.060484	0.0170936	17.19	-80.403	22.0005
2001	0.0575962	-0.0162769	18.1633	-93.6818	21.9995
2101	-0.0601999	0.0170133	18.9121	-108.326	22.0005
2201	0.0575875	-0.0162744	19.8851	-124.403	21.9995
2301	-0.0599652	0.016947	20.6342	-141.977	22.0004
2401	0.0575802	-0.0162724	21.607	-161.116	21.9996
2501	-0.0597681	0.0168912	22.3563	-181.884	22.0004
2601	0.057574	-0.0162707	23.3289	-204.348	21.9996
2701	-0.0596001	0.0168438	24.0784	-228.574	22.0004
2801	0.0575687	-0.0162692	25.0508	-254.629	21.9996
2901	-0.0594554	0.0168028	25.8004	-282.577	22.0003
3001	0.0575641	-0.0162679	26.7727	-312.485	21.9997
3101	-0.0593292	0.0167672	27.5225	-344.419	22.0003
3201	0.0575601	-0.0162668	28.4947	-378.445	21.9997
3301	-0.0592184	0.0167358	29.2445	-414.629	22.0003
3401	0.0575566	-0.0162658	30.2166	-453.038	21.9997
3501	-0.0591203	0.0167081	30.9666	-493.736	22.0003
3601	0.0575535	-0.0162649	31.9386	-536.791	21.9997
3701	-0.0590327	0.0166833	32.6886	-582.267	22.0003
3801	0.0575506	-0.0162641	33.6605	-630.232	21.9997
3901	-0.0589541	0.0166611	34.4107	-680.751	22.0003
4001	0.0575481	-0.0162634	35.3825	-733.89	21.9998
4101	-0.0588832	0.0166411	36.1327	-789.715	22.0002
4201	0.0575458	-0.0162628	37.1045	-848.292	21.9998
4301	-0.0588189	0.0166229	37.8547	-909.688	22.0002
4401	0.0575437	-0.0162622	38.8264	-973.968	21.9998
4501	-0.0587603	0.0166063	39.5768	-1041.2	22.0002
4601	0.0575418	-0.0162617	40.5484	-1111.44	21.9998
4701	-0.0587067	0.0165912	41.2988	-1184.77	22.0002
4801	0.0575401	-0.0162612	42.2704	-1261.25	21.9998
4901	-0.0586574	0.0165772	43.0208	-1340.94	22.0002
5001	0.0575385	-0.0162607	43.9923	-1423.91	21.9998
5101	-0.058612	0.0165644	44.7428	-1510.23	22.0002
5201	0.057537	-0.0162603	45.7143	-1599.96	21.9998
5301	-0.0585701	0.0165525	46.4649	-1693.17	22.0002
5401	0.0575356	-0.01626	47.4363	-1789.92	21.9998
5501	-0.0585312	0.0165415	48.1869	-1890.29	22.0002
5601	0.0575344	-0.0162596	49.1583	-1994.32	21.9998
5701	-0.058495	0.0165313	49.9089	-2102.11	22.0002
5801	0.0575332	-0.0162593	50.8803	-2213.7	21.9998
5901	-0.0584613	0.0165218	51.6309	-2329.16	22.0002
6001	0.0575321	-0.016259	52.6023	-2448.57	21.9998
6101	-0.0584298	0.0165129	53.3529	-2571.98	22.0002
6201	0.057531	-0.0162587	54.3242	-2699.46	21.9998
6301	-0.0584003	0.0165045	55.0749	-2831.09	22.0002
6401	0.0575301	-0.0162584	56.0462	-2966.92	21.9998
